StockCode,Description,revenue_GBP,units_sold
22423,REGENCY CAKESTAND 3 TIER,142265.0,12374.0
85123A,WHITE HANGING HEART T-LIGHT HOLDER,87566.0,31836.0
85099B,JUMBO BAG RED RETROSPOT,79481.0,42878.0
POST,POSTAGE,77804.0,3120.0
47566,PARTY BUNTING,68785.0,15279.0
M,Manual,52720.0,4133.0
84879,ASSORTED COLOUR BIRD ORNAMENT,50497.0,31183.0
79321,CHILLI LIGHTS,46265.0,9646.0
23084,RABBIT NIGHT LIGHT,40030.0,21273.0
22086,PAPER CHAIN KIT 50'S CHRISTMAS,39983.0,14571.0
22502,PICNIC BASKET WICKER 60 PIECES,39620.0,61.0
21137,BLACK RECORD COVER FRAME,39046.0,11401.0
22386,JUMBO BAG PINK POLKADOT,37254.0,20148.0
23284,DOORMAT KEEP CALM AND COME IN,35881.0,5338.0
23298,SPOTTY BUNTING,35510.0,7633.0
82484,WOOD BLACK BOARD ANT WHITE FINISH,34415.0,5913.0
22720,SET OF 3 CAKE TINS PANTRY DESIGN,33298.0,7010.0
22960,JAM MAKING SET WITH JARS,32616.0,8140.0
85099F,JUMBO BAG STRAWBERRY,30569.0,16771.0
22178,VICTORIAN GLASS HANGING T-LIGHT,28735.0,22404.0
20725,LUNCH BAG RED RETROSPOT,27869.0,17576.0
23245,SET OF 3 REGENCY CAKE TINS,26566.0,5844.0
23199,JUMBO BAG APPLES,26426.0,13875.0
22727,ALARM CLOCK BAKELIKE RED,25869.0,7206.0
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,25640.0,9423.0
22469,HEART OF WICKER SMALL,25600.0,15412.0
20685,DOORMAT RED RETROSPOT,25365.0,3897.0
22699,ROSES REGENCY TEACUP AND SAUCER,24827.0,9119.0
22629,SPACEBOY LUNCH BOX,24673.0,13908.0
22470,HEART OF WICKER LARGE,24358.0,8293.0
23355,HOT WATER BOTTLE KEEP CALM,24303.0,5313.0
23201,JUMBO BAG ALPHABET,24160.0,12533.0
22457,NATURAL SLATE HEART CHALKBOARD,24089.0,8427.0
21181,PLEASE ONE PERSON METAL SIGN,23866.0,11932.0
85099C,JUMBO  BAG BAROQUE BLACK WHITE,23631.0,12771.0
48138,DOORMAT UNION FLAG,23623.0,3614.0
22112,CHOCOLATE HOT WATER BOTTLE,23585.0,5152.0
23173,REGENCY TEAPOT ROSES,23034.0,2662.0
22138,BAKING SET 9 PIECE RETROSPOT,22953.0,4786.0
48187,DOORMAT NEW ENGLAND,22784.0,3698.0
21623,VINTAGE UNION JACK MEMOBOARD,22679.0,3252.0
21733,RED HANGING HEART T-LIGHT HOLDER,22595.0,7749.0
22326,ROUND SNACK BOXES SET OF4 WOODLAND,22102.0,8075.0
21931,JUMBO STORAGE BAG SUKI,21785.0,11513.0
48185,DOORMAT FAIRY CAKE,21172.0,3427.0
22961,JAM MAKING SET PRINTED,21148.0,15039.0
21621,VINTAGE UNION JACK BUNTING,20945.0,2538.0
23202,JUMBO BAG VINTAGE LEAF,20922.0,10695.0
22726,ALARM CLOCK BAKELIKE GREEN,20839.0,5630.0
22666,RECIPE BOX PANTRY YELLOW DESIGN,20839.0,7366.0
15056N,EDWARDIAN PARASOL NATURAL,20673.0,3822.0
23203,JUMBO BAG VINTAGE DOILY,20641.0,10620.0
22722,SET OF 6 SPICE TINS PANTRY DESIGN,20483.0,5360.0
85066,CREAM SWEETHEART MINI CHEST,20448.0,1696.0
22139,RETROSPOT TEA SET CERAMIC 11 PC,20426.0,4239.0
22189,CREAM HEART CARD HOLDER,20359.0,7180.0
21166,COOK WITH WINE METAL SIGN,20232.0,10169.0
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,20116.0,10490.0
22630,DOLLY GIRL LUNCH BOX,20104.0,11323.0
22111,SCOTTIE DOG HOT WATER BOTTLE,20050.0,4248.0
82482,WOODEN PICTURE FRAME WHITE FINISH,19945.0,8256.0
48194,DOORMAT HEARTS,19925.0,3268.0
21731,RED TOADSTOOL LED NIGHT LIGHT,19832.0,12863.0
22659,LUNCH BOX I LOVE LONDON,19316.0,11075.0
21523,DOORMAT FANCY FONT HOME SWEET HOME,19149.0,3087.0
20713,JUMBO BAG OWLS,19047.0,10451.0
22090,PAPER BUNTING RETROSPOT,18786.0,6877.0
22728,ALARM CLOCK BAKELIKE PINK,18539.0,5066.0
21929,JUMBO BAG PINK VINTAGE PAISLEY,18428.0,9888.0
23206,LUNCH BAG APPLE DESIGN,18221.0,11530.0
20727,LUNCH BAG  BLACK SKULL.,17950.0,11246.0
21843,RED RETROSPOT CAKE STAND,17919.0,1808.0
21175,GIN + TONIC DIET METAL SIGN,17865.0,7501.0
22697,GREEN REGENCY TEACUP AND SAUCER,17736.0,6406.0
23344,JUMBO BAG 50'S CHRISTMAS,17636.0,8933.0
82494L,WOODEN FRAME ANTIQUE WHITE,17584.0,6268.0
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,17554.0,7892.0
22467,GUMBALL COAT RACK,17489.0,7652.0
21915,RED  HARMONICA IN BOX,17227.0,14785.0
20728,LUNCH BAG CARS BLUE,17215.0,10789.0
23203,JUMBO BAG DOILEY PATTERNS,16737.0,8735.0
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,16566.0,5654.0
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,16537.0,5871.0
22197,POPCORN HOLDER,16511.0,21327.0
22384,LUNCH BAG PINK POLKADOT,16303.0,10226.0
22865,HAND WARMER OWL DESIGN,16114.0,8056.0
21485,RETROSPOT HEART HOT WATER BOTTLE,15827.0,3326.0
22382,LUNCH BAG SPACEBOY DESIGN,15820.0,9875.0
20712,JUMBO BAG WOODLAND ANIMALS,15512.0,8187.0
21754,HOME BUILDING BLOCK WORD,15505.0,2633.0
85152,HAND OVER THE CHOCOLATE   SIGN,15485.0,8138.0
22114,HOT WATER BOTTLE TEA AND SYMPATHY,15386.0,3729.0
22383,LUNCH BAG SUKI DESIGN,15333.0,9570.0
22385,JUMBO BAG SPACEBOY DESIGN,15321.0,8231.0
15056BL,EDWARDIAN PARASOL BLACK,15219.0,2779.0
84946,ANTIQUE SILVER T-LIGHT GLASS,15176.0,12949.0
22969,HOMEMADE JAM SCENTED CANDLES,15077.0,10652.0
22077,6 RIBBONS RUSTIC CHARM,14970.0,8594.0
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,14964.0,3246.0
21212,PACK OF 72 RETROSPOT CAKE CASES,14793.0,29830.0
